Country,International Contributions to Biodiversity Loss,Domestic Contributions to Biodiversity Loss
USA,6600000,6500000
China,3550000,3500000
Japan,2650000,0
Germany,2200000,0
France,1400000,0
United Kingdom,1250000,0
Italy,1100000,1300000
Canada,750000,0
South Korea,700000,0
Mexico,650000,1500000
India,650000,800000
Singapore,650000,0
Brazil,500000,44000000
Russia,475000,2500000
Argentina,400000,600000
Indonesia,350000,19500000
Australia,250000,0
Turkey,210000,0
Saudi Arabia,200000,0
South Africa,185000,0
Sweden,175000,0
Norway,175000,0
Iran,150000,0
Ukraine,100000,0
